"OriginalOrder","ID","Name","Grade","Value"
"2","10205","""Sigourney Weaver""","1.83316455","1"
"35","53807","""Armie Hammer""","1.83018522","1"
"165","16858","""Lauren Graham""","1.73","1"
"187","76850","""Simone Kessell""","0.021","1"
"188","66442","""Tamsin Egerton""","0.021","1"
"190","58593","""Kou Shibasaki""","1.50962475","1"
"220","1098600","""Hiroki Hasegawa""","0.77","1"
"221","588403","""Yutaka Takenouchi""","0.77","1"
"222","224664","""Satomi Ishihara""","0.77","1"
"228","6856","""Kurt Russell""","1.81674817","1"
"230","6164","""Josh Lucas""","1.81674817","1"
"286","58873","""Dan Fogler""","0.59192128","1"
"287","1313583","""Levi Miller""","1.2838832","1"
"311","1017347","""Brenton Thwaites""","1.50680864","1"
"312","12795","""Nikolaj Coster-Waldau""","1.50680864","1"
"324","18324","""Steve Zahn""","1.64433867","1"
"336","77271","""Pink""","1.50406466","1"
"338","882","""Liv Tyler""","1.63712074","1"
"340","1425420","""Ruby Barnhill""","1.83345589","1"
"341","40900","""Mark Rylance""","1.83345589","1"
"342","15556","""Rebecca Hall""","1.83345589","1"
"366","33449","""Essie Davis""","1.4007339","1"
"386","19898","""Vladimir Kulich""","0.61698899","1"
"387","19899","""Dennis Storhoi""","0.61698899","1"
"410","46593","""Emile Hirsch""","1.49295601","1"
"412","28657","""Matthew Fox""","1.51161491","1"
"417","24891","""Clovis Cornillac""","1.329","1"
"418","16927","""Gerard Depardieu""","1.83","1"
"419","24893","""Franck Dubosc""","1.329","1"
"420","33527","""Adam Beach""","0.77628265","1"
"426","58727","""Jamie Renee Smith""","1.7812776000000001","1"
"428","996701","""Miles Teller""","1.67977596","1"
"429","51072","""Kate Mara""","1.67977596","1"
"430","135651","""Michael B. Jordan""","1.73567581","1"
"447","46393","""Roseanne Barr""","1.03951461","1"
"448","7906","""Jennifer Tilly""","1.03951461","1"
"449","37153","""Zoe Kravitz""","1.79246868","1"
"455","4581","""Steve Coogan""","1.00129872","1"
"456","17522","""Cecile de France""","0.72178895","1"
"458","35654","""Spencer Breslin""","1.34","1"
"465","938","""Djimon Hounsou""","1.70877916","1"
"466","6449","""Warren Beatty""","1.03738726","1"
"468","18892","""Goldie Hawn""","1.4902265","1"
"477","40481","""Luis Guzmen""","1.50166126","1"
"483","65598","""Tony Jay""","1.00138851","1"
"485","70243","""Eartha Kitt""","1.69327687","1"
"493","80576","""Max Records""","1.00086793","1"
"494","2229","""Catherine Keener""","1.62944923","1"
"495","54470","""Lauren Ambrose""","1.00086793","1"
"500","27763","""Casper Van Dien""","1.21214377","1"
"501","2133","""Dina Meyer""","1.21214377","1"
"502","9205","""Denise Richards""","1.21214377","1"
"503","388","""Jim Broadbent""","1.30482868","1"
"504","15577","""Emily Barclay""","1.4007339","1"
"505","37260","""Abbie Cornish""","1.4007339","1"
"508","56618","""Brian Murray""","1.09578115","1"
"509","11076","""David Hyde Pierce""","1.09578115","1"
"510","58016","""Anna Friel""","0.68688831","1"
"512","25616","""Edgar Ramedrez""","1.33718711","1"
"513","972356","""Luke Bracey""","1.33718711","1"
"514","20374","""Teresa Palmer""","1.4449283000000002","1"
"515","6213","""Jamie Kennedy""","0.599","1"
"516","10697","""Alan Cumming""","0.599","1"
"517","54826","""Traylor Howard""","0.599","1"
"518","239996","""Benjamin Walker""","1.12265139","1"
"519","2037","""Cillian Murphy""","1.73930596","1"
"520","1811","""Randy Quaid""","1.78043761","1"
"521","5916","""Rosario Dawson""","1.78066569","1"
"526","55152","""Campbell Scott""","1.44216468","1"
"527","856","""Ben Gazzara""","0.13835129999999998","1"
"529","1006864","""Ni Ni""","0.95311434","1"
"530","1031246","""Tong Dawei""","0.95311434","1"
"533","73931","""Bette Midler""","1.19772232","1"
"534","11355","""Jason Isaacs""","1.72989651","1"
"535","32597","""Dylan McDermott""","1.04907746","1"
"539","4810","""Rosie Perez""","0.76432727","1"
"556","18248","""Mary-Louise Parker""","1.62839667","1"
"557","1733","""Nick Nolte""","1.8230000000000002","1"
"563","8654","""Matthew Modine""","0.10017322","1"
"564","8924","""Frank Langella""","0.58401898","1"
"569","2958","""Diana Scarwid""","1.55464351","1"
"575","54738","""Jack Huston""","0.94061311","1"
"576","20286","""Toby Kebbell""","1.77584879","1"
"577","17289","""Rodrigo Santoro""","1.53962963","1"
"590","28641","""Terence Stamp""","1.82290266","1"
"591","27631","""Nathaniel Parker""","1.82290266","1"
"592","4512","""James Woods""","1.71120329","1"
"594","2228","""Sean Penn""","1.62944923","1"
"595","60077","""Douglas Smith""","1.74578751","1"
"596","1284","""Noah Taylor""","1.61451538","1"
"603","6368","""Embeth Davidtz""","0.937","1"
"604","8256","""Anne Heche""","1.64","1"
"605","12930","""Gaby Hoffmann""","1.228","1"
"606","8985","""Margaret Colin""","1.40807547","1"
"608","78729","""Nathan Lane""","0.16178959","1"
"609","37332","""David McCullough""","1.48336445","1"
"623","65535","""Alice Evans""","1.83611771","1"
"624","1893","""Casey Affleck""","1.52930623","1"
"629","1164","""F. Murray Abraham""","1.74600318","1"
"630","40176","""Art Carney""","1.37298489","1"
"632","16145","""Youki Kudoh""","1.62242962","1"
"634","116277","""Nathalie Kelley""","1.58468292","1"
"635","61697","""Sung Kang""","1.58468292","1"
"636","2440","""Bill Nighy""","1.47","1"
"637","4174","""Claire Forlani""","1.429401","1"
"638","3809","""Francesca Neri""","0.78382433","1"
"639","13550","""Elias Koteas""","0.80634","1"
"641","4431","""Jessica Lange""","1.8230000000000002","1"
"642","80927","""Leland Palmer""","0.37823676","1"
"644","112561","""Lily Collins""","1.83018522","1"
"646","17628","""Mary Elizabeth Winstead""","1.17719158","1"
"647","18793","""Kieran Culkin""","0.64","1"
"650","54421","""Janet Jackson""","1.23307945","1"
"655","52442","""Olivia Thirlby""","0.64626786","1"
"657","11066","""Hal Holbrook""","0.21028755","1"
"658","11782","""Adrienne Barbeau""","0.21378361","1"
"659","6839","""Fritz Weaver""","0.21028755","1"
"660","18979","""Christina Applegate""","1.12483764","1"
"661","2372","""Ron Perlman""","1.60388063","1"
"662","11826","""Selma Blair""","1.60388063","1"
"663","4688","""Michael Rapaport""","0.96085477","1"
"664","3417","""Tony Goldwyn""","0.96085477","1"
