"ID","Name","Grade"
"2710"," ""James Cameron""","18.45034188"
"1704"," ""Gore Verbinski""","10.65659812"
"39"," ""Sam Mendes""","11.08561013"
"525"," ""Christopher Nolan""","10.84939099"
"7"," ""Andrew Stanton""","9.40335536"
"7623"," ""Sam Raimi""","8.90871626"
"76595"," ""Byron Howard""","5.91794936"
"121830"," ""Nathan Greno""","5.91794936"
"12891"," ""Joss Whedon""","15.1955791"
"11343"," ""David Yates""","9.38212738"
"15217"," ""Zack Snyder""","8.73260194"
"9032"," ""Bryan Singer""","7.47862775"
"12995"," ""Marc Forster""","5.86090727"
"5524"," ""Andrew Adamson""","9.19838758"
"17633"," ""Rob Marshall""","10.45713802"
"5174"," ""Barry Sonnenfeld""","6.24026776"
"108"," ""Peter Jackson""","11.18888979"
"87742"," ""Marc Webb""","7.52215857"
"578"," ""Ridley Scott""","6.3016189"
"3288"," ""Chris Weitz""","7.09827462"
"19271"," ""Anthony Russo""","11.53304495"
"19272"," ""Joe Russo""","11.53304495"
"36602"," ""Peter Berg""","6.24029371"
"930707"," ""Colin Trevorrow""","15.135288099999999"
"1108"," ""Shane Black""","12.15439994"
"510"," ""Tim Burton""","10.2549111"
"11091"," ""Brett Ratner""","4.59359555"
"225976"," ""Dan Scanlon""","7.43559607"
"865"," ""Michael Bay""","11.23746996"
"86270"," ""Joseph Kosinski""","4.00062763"
"7879"," ""John Lasseter""","5.59852396"
"32532"," ""Brad Lewis""","5.59852396"
"10702"," ""Martin Campbell""","5.990459599999999"
"8"," ""Lee Unkrich""","10.66969703"
"36425"," ""McG""","3.71353001"
"2127"," ""James Wan""","15.062493599999998"
"15344"," ""J.J. Abrams""","4.67365246"
"6201"," ""Baz Luhrmann""","3.51040419"
"10723"," ""Mike Newell""","8.95921036"
"10828"," ""Guillermo del Toro""","4.07602906"
"488"," ""Steven Spielberg""","9.201"
"21198"," ""Peter Sohn""","3.31926147"
"59803"," ""Brenda Chapman""","5.38983207"
"126638"," ""Mark Andrews""","5.38983207"
"137262"," ""Steve Purcell""","5.38983207"
"58189"," ""Justin Lin""","6.26137675"
"6046"," ""Roland Emmerich""","8.16969268"
"24"," ""Robert Zemeckis""","6.77945399"
"9339"," ""Lilly Wachowski""","7.38599701"
"9340"," ""Lana Wachowski""","7.38599701"
"12890"," ""Pete Docter""","8.57611174"
"12080"," ""Conrad Vernon""","9.19838758"
"65630"," ""Rob Letterman""","3.8150987"
"15277"," ""Jon Favreau""","9.665506"
"1032"," ""Martin Scorsese""","3.92000694"
"18878"," ""Rob Cohen""","4.01128639"
"19769"," ""David Ayer""","7.45"
"4499"," ""Tom Shadyac""","4.84572835"
"11694"," ""Doug Liman""","4.7820752"
"8300"," ""Kevin Reynolds""","3.90493908"
"7775"," ""Stephen Sommers""","4.33013274"
"228134"," ""Rupert Sanders""","3.966"
"1032536"," ""Robert Stromberg""","7.58539785"
