"ID","Name","Grade"
"2710"," ""James Cameron""","18.45034188"
"8529"," ""Jon Landau""","18.45034188"
"770"," ""Jerry Bruckheimer""","10.65659812"
"2445"," ""Eric McLeod""","9.61"
"2446"," ""Chad Oman""","9.61"
"2447"," ""Peter Kohn""","10.65659812"
"2448"," ""Pat Sandston""","10.65659812"
"10666"," ""Barbara Broccoli""","11.08561013"
"69678"," ""Michael G. Wilson""","11.08561013"
"282"," ""Charles Roven""","10.84939099"
"525"," ""Christopher Nolan""","10.84939099"
"556"," ""Emma Thomas""","10.84939099"
"490"," ""Colin Wilson""","5.91739379"
"72752"," ""Jim Morris""","5.2131186"
"72753"," ""Lindsey Collins""","5.2131186"
"7627"," ""Laura Ziskin""","8.90871626"
"7626"," ""Avi Arad""","8.90871626"
"7628"," ""Grant Curtis""","8.90871626"
"56612"," ""Roy Conli""","6.52105443"
"10850"," ""Kevin Feige""","15.1955791"
"10968"," ""David Heyman""","9.7647555"
"65614"," ""David Barron""","9.33959197"
"89320"," ""Tim Lewis""","9.33959197"
"79243"," ""Deborah Snyder""","8.73260194"
"3805"," ""Jon Peters""","3.91081192"
"10953"," ""Gilbert Adler""","3.91081192"
"9032"," ""Bryan Singer""","7.47862775"
"1704"," ""Gore Verbinski""","2.45724603"
"5162"," ""Mark Johnson""","7.48806957"
"5524"," ""Andrew Adamson""","4.19651413"
"5541"," ""Philip Steuer""","7.48806957"
"2212"," ""Walter F. Parkes""","6.24026776"
"8701"," ""Laurie MacDonald""","6.24026776"
"108"," ""Peter Jackson""","11.18888979"
"126"," ""Fran Walsh""","10.21103568"
"3506"," ""Carolynne Cunningham""","10.21103568"
"53393"," ""Zane Weiner""","10.21103568"
"977941"," ""Matt Tolmach""","7.52215857"
"339"," ""Brian Grazer""","7.67820459"
"578"," ""Ridley Scott""","6.3016189"
"934"," ""Russell Crowe""","3.1066954"
"23420"," ""Bill Carraro""","3.72234864"
"23421"," ""Deborah Forte""","3.72234864"
"3505"," ""Jan Blenkin""","5.5"
"6870"," ""Duncan Henderson""","3.03025485"
"19282"," ""Scott Stuber""","3.03025485"
"24308"," ""Brian Goldner""","3.71876278"
"36602"," ""Peter Berg""","3.03025485"
"50769"," ""Sarah Aubrey""","3.03025485"
"937231"," ""Bennett Schneir""","3.03025485"
"664"," ""Frank Marshall""","15.135288099999999"
"25600"," ""Patrick Crowley""","15.135288099999999"
"20643"," ""Lorne Orleans""","10.04558444"
"550"," ""Jennifer Todd""","10.2549111"
"551"," ""Suzanne Todd""","10.2549111"
"1297"," ""Richard D. Zanuck""","10.2549111"
"8275"," ""Katterli Frauenfelder""","10.2549111"
"18311"," ""Joe Roth""","10.2549111"
"959668"," ""Derek Frey""","10.2549111"
"1102209"," ""Tom C. Peitzman""","10.2549111"
"2095"," ""Ralph Winter""","4.59359555"
"7200"," ""Lauren Shuler Donner""","7.83112979"
"7880"," ""Kori Rae""","7.43559607"
"3183"," ""Don Murphy""","11.23746996"
"9987"," ""Ian Bryce""","11.23746996"
"10952"," ""Lorenzo di Bonaventura""","11.23746996"
"10994"," ""Tom DeSanto""","11.23746996"
"12859"," ""Steven Lisberger""","4.00062763"
"20908"," ""Jeffrey Silver""","4.22610419"
"39387"," ""Sean Bailey""","4.00062763"
"970529"," ""Denise Ream""","5.59852396"
"58470"," ""Donald De Line""","2.19851172"
"88967"," ""Greg Berlanti""","2.19851172"
"211962"," ""Geoff Johns""","2.19851172"
"7879"," ""John Lasseter""","10.66969703"
"7878"," ""Darla K. Anderson""","10.66969703"
"20295"," ""Moritz Borman""","3.71353001"
"81142"," ""Derek Anderson""","3.71353001"
"964905"," ""Victor Kubicek""","3.71353001"
"8181"," ""Michael Fottrell""","15.062493599999998"
"11874"," ""Neal H. Moritz""","15.062493599999998"
"12835"," ""Vin Diesel""","15.062493599999998"
"75826"," ""Brandon Birtell""","15.062493599999998"
"287"," ""Brad Pitt""","5.31865"
"20458"," ""Dede Gardner""","5.31865"
"967387"," ""Jeremy Kleiner""","5.31865"
"11092"," ""Simon Kinberg""","7.83112979"
"584598"," ""Hutch Parker""","7.47862775"
"15344"," ""J.J. Abrams""","6.9471338000000005"
"15345"," ""Alex Kurtzman""","4.67365246"
"15346"," ""Roberto Orci""","4.67365246"
"28977"," ""Bryan Burk""","6.9471338000000005"
"28974"," ""Damon Lindelof""","4.67365246"
"42994"," ""David Dobkin""","1.97687603"
"6201"," ""Baz Luhrmann""","3.51040419"
"6203"," ""Catherine Martin""","3.51040419"
"12202"," ""Catherine Knapman""","3.51040419"
"19862"," ""Lucy Fisher""","3.51040419"
"10828"," ""Guillermo del Toro""","4.07602906"
"61091"," ""Jon Jashni""","4.33677183"
"114408"," ""Mary Parent""","5.32950503"
"54211"," ""Thomas Tull""","4.33677183"
